date,Machine learning-US,covid-US,Donald Trump-US,Apple-US,Merkel-US,Machine learning-Germany,covid-Germany,Donald Trump-Germany,Apple-Germany,Merkel-Germany
2019-07-21,50,0,14,31,33,100,0,14,23,10
2019-07-28,39,0,14,32,13,53,0,11,26,9
2019-08-04,28,0,15,34,9,70,0,11,24,8
2019-08-11,26,0,13,31,12,34,0,9,27,10
2019-08-18,17,0,12,31,15,50,0,11,25,12
2019-08-25,20,0,11,35,46,77,0,15,22,16
2019-09-01,32,0,10,33,13,5,0,9,23,10
2019-09-08,35,0,11,100,8,22,0,9,95,9
2019-09-15,23,0,11,44,11,22,0,8,42,7
2019-09-22,39,0,19,46,21,38,0,22,39,10
2019-09-29,24,0,19,41,19,31,0,19,34,9
2019-10-06,34,0,19,36,16,53,0,14,33,7
2019-10-13,37,0,23,36,11,73,0,17,32,8
2019-10-20,34,0,13,37,17,43,0,12,31,5
2019-10-27,44,0,26,45,23,46,0,20,36,7
2019-11-03,35,0,18,37,9,37,0,12,32,7
2019-11-10,22,0,16,40,17,37,0,13,38,7
2019-11-17,29,0,15,37,9,63,0,12,32,5
2019-11-24,31,0,13,44,17,11,0,11,40,10
2019-12-01,17,0,16,42,24,27,0,14,33,7
2019-12-08,29,0,16,39,38,54,0,11,37,6
2019-12-15,30,0,26,36,9,37,0,10,35,7
2019-12-22,31,0,13,51,6,32,0,10,49,6
2019-12-29,26,0,13,40,8,49,0,10,35,10
2020-01-05,26,0,26,38,8,75,0,20,35,8
2020-01-12,36,0,17,39,16,62,0,11,32,7
2020-01-19,31,5,15,35,8,57,5,17,34,9
2020-01-26,22,20,18,33,6,47,22,12,32,6
2020-02-02,33,14,36,35,9,54,16,19,32,11
2020-02-09,33,13,17,35,11,52,8,10,30,11
2020-02-16,27,10,21,35,8,58,10,8,26,8
2020-02-23,17,21,22,33,14,42,33,11,26,8
2020-03-01,19,37,19,33,20,65,35,10,27,10
2020-03-08,33,82,33,34,43,49,72,19,26,28
2020-03-15,21,100,35,40,100,24,100,20,30,100
2020-03-22,23,80,28,31,73,17,85,22,26,61
2020-03-29,20,73,23,32,17,46,69,19,26,20
2020-04-05,16,57,20,33,17,33,55,19,25,24
2020-04-12,25,42,27,38,36,18,50,29,33,57
2020-04-19,24,35,28,34,29,42,43,35,31,28
2020-04-26,21,29,19,31,18,33,30,26,30,27
2020-05-03,15,27,14,29,19,40,29,13,27,27
2020-05-10,11,22,18,26,15,21,21,18,24,16
2020-05-17,11,17,14,26,10,24,18,13,21,10
2020-05-24,17,13,13,25,10,24,17,14,24,11
2020-05-31,16,9,26,24,15,16,14,27,23,10
2020-06-07,17,9,15,25,17,45,12,17,25,7
2020-06-14,14,10,26,26,14,28,12,21,24,9
2020-06-21,12,11,34,44,16,23,14,26,35,8
2020-06-28,17,12,24,25,16,45,11,20,21,12
2020-07-05,15,12,20,27,11,19,11,17,22,9
2020-07-12,12,14,16,28,14,32,12,15,23,9
2020-07-19,11,12,27,29,13,56,10,30,22,6
2020-07-26,23,11,17,28,13,18,11,18,22,7
2020-08-02,34,10,29,26,16,25,12,30,23,6
2020-08-09,100,9,25,44,13,14,11,22,29,6
2020-08-16,50,8,25,35,14,25,12,19,28,9
2020-08-23,34,8,31,49,9,41,10,21,33,11
2020-08-30,11,8,26,35,14,29,10,16,29,8
2020-09-06,13,7,27,33,18,29,9,18,27,7
2020-09-13,19,7,32,62,7,44,9,17,85,7
2020-09-20,17,7,28,39,18,18,8,18,48,7
2020-09-27,15,9,61,34,14,24,10,81,34,11
2020-10-04,10,9,44,30,10,24,12,41,34,9
2020-10-11,16,7,51,69,14,23,13,32,73,15
2020-10-18,16,7,62,31,12,13,12,40,36,11
2020-10-25,15,8,62,34,17,23,16,30,34,36
2020-11-01,9,6,100,30,14,25,13,100,30,14
2020-11-08,13,8,64,45,29,29,12,80,45,12
2020-11-15,15,10,34,33,16,31,14,32,37,20
2020-11-22,15,8,26,31,12,25,11,21,35,24
2020-11-29,13,9,26,32,28,38,11,18,38,9
2020-12-06,14,10,22,34,24,42,14,15,40,42
2020-12-13,13,13,17,32,18,31,16,15,34,27
2020-12-20,13,11,17,37,17,38,15,14,37,9
2020-12-27,13,10,13,33,19,30,13,12,34,22
2021-01-03,29,9,53,30,26,25,14,38,31,24
2021-01-10,13,9,47,33,22,38,13,33,28,11
2021-01-17,12,9,49,31,18,32,12,35,30,31
2021-01-24,13,8,14,30,25,21,11,13,26,9
2021-01-31,15,7,9,29,16,34,10,9,28,16
2021-02-07,16,7,15,27,10,26,8,10,25,20
2021-02-14,12,6,12,28,17,26,7,7,23,8
2021-02-21,14,6,8,31,8,20,7,6,26,8
2021-02-28,14,6,16,31,11,28,8,7,24,21
2021-03-07,7,6,7,29,20,40,7,4,29,6
2021-03-14,15,6,7,29,8,22,10,5,28,7
2021-03-21,14,6,7,32,13,22,13,5,27,35
2021-03-28,15,7,6,29,14,21,10,4,24,18
2021-04-04,18,7,5,29,7,28,13,5,24,10
2021-04-11,12,7,5,30,12,25,15,4,26,14
2021-04-18,10,7,5,56,10,12,14,4,48,9
2021-04-25,11,11,5,35,12,37,16,3,32,8
2021-05-02,13,9,5,35,10,30,13,4,30,6
2021-05-09,14,8,5,32,7,20,11,3,26,6
2021-05-16,14,7,5,33,10,29,10,4,27,5
2021-05-23,12,6,5,31,4,27,10,3,28,6
2021-05-30,19,5,6,32,10,27,7,4,25,5
2021-06-06,12,5,9,45,5,40,8,5,37,6
2021-06-13,18,4,5,30,16,21,8,4,25,6
2021-06-20,21,5,6,33,11,34,8,4,30,10
2021-06-27,14,5,11,29,8,39,7,5,29,7
2021-07-04,11,5,9,29,11,28,9,5,26,5
2021-07-11,10,5,8,30,40,40,11,5,28,15
2021-07-18,11,7,6,31,10,16,9,4,26,16
2021-07-25,12,8,6,29,12,26,10,4,29,6
2021-08-01,14,9,5,29,14,18,9,4,29,7
2021-08-08,14,10,5,30,9,35,12,4,27,8
2021-08-15,14,9,7,31,22,23,9,5,29,9
2021-08-22,16,12,10,31,11,25,9,5,27,8
2021-08-29,11,9,6,36,7,25,9,4,26,7
2021-09-05,23,9,6,34,11,11,9,3,32,12
2021-09-12,15,8,7,87,13,20,9,4,100,9
2021-09-19,16,8,6,42,25,38,9,4,40,11
2021-09-26,17,7,7,36,37,21,7,4,30,19
2021-10-03,17,6,5,35,12,31,6,3,36,13
2021-10-10,23,5,7,37,12,23,5,3,37,9
2021-10-17,12,5,5,51,9,23,7,3,59,7
2021-10-24,12,4,5,35,12,20,7,4,38,8
2021-10-31,17,5,6,32,13,25,8,3,31,8
2021-11-07,9,5,5,32,10,9,9,3,34,7
2021-11-14,17,5,4,33,0,16,14,3,32,6
2021-11-21,13,6,4,34,12,22,16,3,35,6
2021-11-28,19,8,4,37,52,24,16,3,32,51
2021-12-05,19,5,4,34,45,15,12,3,32,24
2021-12-12,16,6,4,34,11,22,12,3,31,8
2021-12-19,13,7,6,35,11,21,10,3,36,6
2021-12-26,15,7,4,39,13,30,9,3,35,6
2022-01-02,16,9,4,34,21,18,9,3,33,3
2022-01-09,15,8,5,30,9,30,9,4,31,4
2022-01-16,17,7,8,33,3,26,8,4,29,4
2022-01-23,11,5,4,32,9,31,8,3,33,4
2022-01-30,12,5,7,33,8,44,7,3,31,4
2022-02-06,13,4,4,30,6,21,6,3,27,3
2022-02-13,13,3,4,30,3,18,5,3,24,4
2022-02-20,9,3,7,30,11,31,5,5,27,7
2022-02-27,9,3,9,30,18,20,4,5,25,7
2022-03-06,14,3,8,52,5,13,4,5,50,5
2022-03-13,18,3,7,35,12,13,4,4,29,4
2022-03-20,15,3,5,36,17,13,4,4,28,4
2022-03-27,11,3,6,32,10,56,5,3,26,4
2022-04-03,13,3,6,31,12,21,5,3,25,4
2022-04-10,21,3,5,31,8,29,4,2,22,3
2022-04-17,14,2,5,30,9,26,3,5,28,2
2022-04-24,18,3,6,32,6,36,2,3,27,3
2022-05-01,21,2,6,31,11,44,3,3,24,3
2022-05-08,24,3,5,36,6,40,2,3,27,3
2022-05-15,31,3,4,36,11,55,3,3,29,3
2022-05-22,27,3,5,37,10,44,2,3,26,2
2022-05-29,25,3,5,39,8,53,3,3,29,3
2022-06-05,25,3,5,76,14,48,3,3,53,19
2022-06-12,25,3,6,40,5,53,3,3,29,8
2022-06-19,28,3,6,38,6,54,4,3,31,5
2022-06-26,25,3,8,38,3,56,4,4,30,3
2022-07-03,22,3,6,37,8,47,4,4,28,3
2022-07-10,28,3,8,38,8,48,4,4,31,3
2022-07-17,26,4,9,39,10,42,4,4,28,3
